SEASON_END_YEAR,TEAM_ABBREVIATION,PLAYERS,TOTAL_MINUTES,TOTAL_GAMES_PLAYER_SUM,AVG_AGE,TOTAL_RAPTOR_WAR,Raptor_O,Raptor_D,RaptorPLUS_MINUS,TSPCT,USGPCT,ASTPCT,TOVPCT,ORBPCT,DRBPCT,TRBPCT,STLPCT,BLKPCT,ORtg,DRtg,2PPCT,3PPCT,FTPCT,3PAr,FTAr,Pace_PLUS_MINUS
2010,ATL,14,19856,868,26.571,40.13,0.999,0.225,1.214,54.432,19.9,14.271,11.0,5.661,14.545,10.041,1.574,1.568,112.581,106.876,49.463,35.945,77.39,20.226,29.007,-0.174
2010,BOS,19,19780,867,28.0,36.71,0.057,0.8,0.89,56.244,19.835,15.985,13.942,4.572,14.785,9.82,1.845,1.605,108.224,103.905,51.926,23.275,73.701,21.317,34.385,0.243
2010,CHA,19,19879,837,27.263,31.51,-0.618,0.958,0.342,54.148,19.846,14.579,14.817,5.294,14.817,10.151,1.694,1.852,105.612,103.05,48.376,28.324,74.672,19.803,36.054,0.184
2010,CHI,18,19907,785,26.944,23.25,-0.83,0.373,-0.444,52.001,19.875,14.163,12.969,5.328,14.966,10.192,1.39,1.828,104.149,105.423,46.855,23.423,75.234,15.762,29.553,-0.062
2010,CLE,18,19780,835,27.056,44.46,0.898,0.775,1.666,56.648,19.837,15.616,12.463,5.007,15.463,10.48,1.479,1.66,112.119,104.207,50.744,30.119,73.211,25.508,32.254,-0.083
2010,DAL,18,19880,811,29.333,34.86,0.367,0.332,0.708,55.23,19.894,15.101,12.676,4.877,14.744,9.877,1.625,1.696,110.026,106.17,48.818,31.586,79.618,23.738,27.08,-0.125
2010,DEN,13,19782,797,27.615,38.54,0.922,0.146,1.067,56.41,19.939,13.946,12.961,5.233,14.472,9.876,1.742,1.577,112.493,107.692,50.466,25.147,74.847,20.642,39.846,0.031
2010,DET,14,19782,831,26.857,13.58,-0.49,-0.908,-1.4,51.707,19.853,13.705,12.48,6.056,14.683,10.1,1.632,1.343,106.837,111.558,48.221,22.899,72.103,16.378,32.627,0.077
2010,GSW,20,19731,723,26.35,19.34,0.034,-0.845,-0.832,55.77,19.94,14.02,12.727,4.183,13.714,8.882,1.852,1.238,108.774,111.937,50.219,29.893,76.047,23.839,28.977,0.159
2010,HOU,21,19904,801,25.952,27.61,-0.02,-0.032,-0.019,53.39,19.893,14.442,12.805,5.384,14.781,9.906,1.49,1.164,108.288,108.263,47.48,25.62,73.845,26.885,29.402,0.019
2010,IND,15,19705,812,26.467,19.66,-0.841,0.061,-0.797,53.348,19.858,14.241,13.555,4.311,14.609,9.423,1.45,1.594,103.836,106.983,48.044,30.976,75.153,27.6,28.947,0.081
2010,LAC,19,19703,837,27.053,11.48,-1.03,-0.583,-1.599,52.802,19.864,15.001,14.183,5.434,14.811,10.075,1.389,1.768,104.308,110.195,48.82,24.65,73.251,22.362,28.445,0.021
2010,LAL,13,19830,847,27.615,40.43,0.341,0.934,1.265,53.35,19.941,13.934,12.145,5.538,14.883,10.249,1.595,1.514,108.71,103.83,48.248,26.074,74.863,24.085,27.964,-0.129
2010,MEM,17,19905,819,25.0,24.06,0.079,-0.453,-0.395,53.5,19.851,11.86,13.555,6.265,14.681,10.449,1.652,1.525,108.612,110.101,49.185,24.134,73.432,14.286,33.601,-0.127
2010,MIA,15,19879,827,27.333,33.45,-0.164,0.684,0.553,53.521,19.828,13.579,12.37,5.203,14.987,10.132,1.623,1.867,108.139,104.01,47.694,23.04,75.674,23.559,29.506,0.008
2010,MIL,19,19979,871,27.737,31.87,-0.475,0.87,0.378,51.691,19.92,14.476,12.07,5.233,15.285,10.03,1.529,1.51,105.169,103.267,45.989,28.108,75.621,25.048,23.758,0.109
2010,MIN,16,19779,898,25.062,4.03,-1.413,-0.94,-2.353,51.866,19.89,13.092,14.222,5.338,14.713,9.961,1.529,1.162,102.098,111.749,46.77,23.681,73.8,17.13,28.638,-0.081
2010,NJN,17,19782,794,26.529,3.56,-1.579,-0.819,-2.398,50.628,19.824,13.815,12.876,5.026,14.36,9.489,1.545,1.46,101.121,110.662,45.314,21.427,77.019,17.799,30.099,-0.047
2010,NOH,16,19831,806,27.812,21.42,-0.109,-0.494,-0.619,54.061,19.859,14.662,12.224,4.934,14.763,9.761,1.631,1.142,107.947,110.051,48.418,28.42,78.48,23.993,24.992,-0.057
2010,NYK,20,19880,730,25.8,17.4,-0.063,-0.972,-1.036,54.389,19.885,14.127,13.036,4.693,14.403,9.474,1.504,1.155,108.089,111.611,49.148,27.345,77.717,32.654,25.981,0.229
2010,OKC,18,19804,784,25.167,37.06,0.203,0.722,0.931,54.031,19.854,13.552,13.561,5.705,14.736,10.337,1.706,1.82,108.857,104.516,48.99,30.414,74.914,18.22,30.651,-0.091
