SEASON_YEAR,GAME_ID,GAME_DATE,HOME_TEAM,HOME_TEAM_ABBREVIATION,AWAY_TEAM,AWAY_TEAM_ABBREVIATION,HOME_POINTS,AWAY_POINTS,WINNER
2010-11,21000001,2010-10-26,Boston Celtics,BOS,Miami Heat,MIA,88,80,Boston Celtics
2010-11,21000002,2010-10-26,Portland Trail Blazers,POR,Phoenix Suns,PHX,106,92,Portland Trail Blazers
2010-11,21000003,2010-10-26,Los Angeles Lakers,LAL,Houston Rockets,HOU,112,110,Los Angeles Lakers
2010-11,21000004,2010-10-27,Cleveland Cavaliers,CLE,Boston Celtics,BOS,95,87,Cleveland Cavaliers
2010-11,21000005,2010-10-27,New Jersey Nets,NJN,Detroit Pistons,DET,101,98,New Jersey Nets
2010-11,21000006,2010-10-27,Philadelphia 76ers,PHI,Miami Heat,MIA,87,97,Miami Heat
2010-11,21000007,2010-10-27,Toronto Raptors,TOR,New York Knicks,NYK,93,98,New York Knicks
2010-11,21000008,2010-10-27,Memphis Grizzlies,MEM,Atlanta Hawks,ATL,104,119,Atlanta Hawks
2010-11,21000009,2010-10-27,Minnesota Timberwolves,MIN,Sacramento Kings,SAC,116,117,Sacramento Kings
2010-11,21000010,2010-10-27,New Orleans Hornets,NOH,Milwaukee Bucks,MIL,95,91,New Orleans Hornets
2010-11,21000011,2010-10-27,Oklahoma City Thunder,OKC,Chicago Bulls,CHI,106,95,Oklahoma City Thunder
2010-11,21000012,2010-10-27,Dallas Mavericks,DAL,Charlotte Bobcats,CHA,101,86,Dallas Mavericks
2010-11,21000013,2010-10-27,San Antonio Spurs,SAS,Indiana Pacers,IND,122,109,San Antonio Spurs
2010-11,21000014,2010-10-27,Denver Nuggets,DEN,Utah Jazz,UTA,110,88,Denver Nuggets
2010-11,21000015,2010-10-27,Golden State Warriors,GSW,Houston Rockets,HOU,132,128,Golden State Warriors
2010-11,21000016,2010-10-27,Los Angeles Clippers,LAC,Portland Trail Blazers,POR,88,98,Portland Trail Blazers
2010-11,21000017,2010-10-28,Orlando Magic,ORL,Washington Wizards,WAS,112,83,Orlando Magic
2010-11,21000018,2010-10-28,Utah Jazz,UTA,Phoenix Suns,PHX,94,110,Phoenix Suns
2010-11,21000019,2010-10-29,Charlotte Bobcats,CHA,Indiana Pacers,IND,101,104,Indiana Pacers
2010-11,21000020,2010-10-29,New Jersey Nets,NJN,Sacramento Kings,SAC,106,100,New Jersey Nets
2010-11,21000021,2010-10-29,Philadelphia 76ers,PHI,Atlanta Hawks,ATL,101,104,Atlanta Hawks
2010-11,21000022,2010-10-29,Toronto Raptors,TOR,Cleveland Cavaliers,CLE,101,81,Toronto Raptors
2010-11,21000023,2010-10-29,Boston Celtics,BOS,New York Knicks,NYK,105,101,Boston Celtics
2010-11,21000024,2010-10-29,Detroit Pistons,DET,Oklahoma City Thunder,OKC,104,105,Oklahoma City Thunder
2010-11,21000025,2010-10-29,Miami Heat,MIA,Orlando Magic,ORL,96,70,Miami Heat
2010-11,21000026,2010-10-29,Minnesota Timberwolves,MIN,Milwaukee Bucks,MIL,96,85,Minnesota Timberwolves
2010-11,21000027,2010-10-29,New Orleans Hornets,NOH,Denver Nuggets,DEN,101,95,New Orleans Hornets
2010-11,21000028,2010-10-29,Dallas Mavericks,DAL,Memphis Grizzlies,MEM,90,91,Memphis Grizzlies
2010-11,21000029,2010-10-29,Golden State Warriors,GSW,Los Angeles Clippers,LAC,109,91,Golden State Warriors
2010-11,21000030,2010-10-29,Phoenix Suns,PHX,Los Angeles Lakers,LAL,106,114,Los Angeles Lakers
2010-11,21000031,2010-10-30,Atlanta Hawks,ATL,Washington Wizards,WAS,99,95,Atlanta Hawks
2010-11,21000032,2010-10-30,Cleveland Cavaliers,CLE,Sacramento Kings,SAC,104,107,Sacramento Kings
2010-11,21000033,2010-10-30,New York Knicks,NYK,Portland Trail Blazers,POR,95,100,Portland Trail Blazers
2010-11,21000034,2010-10-30,Indiana Pacers,IND,Philadelphia 76ers,PHI,99,86,Indiana Pacers
2010-11,21000035,2010-10-30,Chicago Bulls,CHI,Detroit Pistons,DET,101,91,Chicago Bulls
2010-11,21000036,2010-10-30,Memphis Grizzlies,MEM,Minnesota Timberwolves,MIN,109,89,Memphis Grizzlies
2010-11,21000037,2010-10-30,Houston Rockets,HOU,Denver Nuggets,DEN,94,107,Denver Nuggets
2010-11,21000038,2010-10-30,Milwaukee Bucks,MIL,Charlotte Bobcats,CHA,98,88,Milwaukee Bucks
2010-11,21000039,2010-10-30,San Antonio Spurs,SAS,New Orleans Hornets,NOH,90,99,New Orleans Hornets
2010-11,21000040,2010-10-31,New Jersey Nets,NJN,Miami Heat,MIA,78,101,Miami Heat
2010-11,21000041,2010-10-31,Los Angeles Clippers,LAC,Dallas Mavericks,DAL,83,99,Dallas Mavericks
2010-11,21000042,2010-10-31,Oklahoma City Thunder,OKC,Utah Jazz,UTA,99,120,Utah Jazz
2010-11,21000043,2010-10-31,Los Angeles Lakers,LAL,Golden State Warriors,GSW,107,83,Los Angeles Lakers
2010-11,21000044,2010-11-01,Chicago Bulls,CHI,Portland Trail Blazers,POR,110,98,Chicago Bulls
2010-11,21000045,2010-11-01,Sacramento Kings,SAC,Toronto Raptors,TOR,111,108,Sacramento Kings
2010-11,21000046,2010-11-01,Los Angeles Clippers,LAC,San Antonio Spurs,SAS,88,97,San Antonio Spurs
2010-11,21000047,2010-11-02,Cleveland Cavaliers,CLE,Atlanta Hawks,ATL,88,100,Atlanta Hawks
2010-11,21000048,2010-11-02,Washington Wizards,WAS,Philadelphia 76ers,PHI,116,115,Washington Wizards
2010-11,21000049,2010-11-02,Detroit Pistons,DET,Boston Celtics,BOS,86,109,Boston Celtics
2010-11,21000050,2010-11-02,Miami Heat,MIA,Minnesota Timberwolves,MIN,129,97,Miami Heat
2010-11,21000052,2010-11-02,Milwaukee Bucks,MIL,Portland Trail Blazers,POR,76,90,Portland Trail Blazers
2010-11,21000053,2010-11-02,Los Angeles Lakers,LAL,Memphis Grizzlies,MEM,124,105,Los Angeles Lakers
2010-11,21000054,2010-11-03,Atlanta Hawks,ATL,Detroit Pistons,DET,94,85,Atlanta Hawks
2010-11,21000055,2010-11-03,New Jersey Nets,NJN,Charlotte Bobcats,CHA,83,85,Charlotte Bobcats
2010-11,21000056,2010-11-03,Orlando Magic,ORL,Minnesota Timberwolves,MIN,128,86,Orlando Magic
2010-11,21000057,2010-11-03,Philadelphia 76ers,PHI,Indiana Pacers,IND,101,75,Philadelphia 76ers
2010-11,21000058,2010-11-03,Boston Celtics,BOS,Milwaukee Bucks,MIL,105,102,Boston Celtics
2010-11,21000059,2010-11-03,Houston Rockets,HOU,New Orleans Hornets,NOH,99,107,New Orleans Hornets
2010-11,21000060,2010-11-03,Denver Nuggets,DEN,Dallas Mavericks,DAL,101,102,Dallas Mavericks
2010-11,21000061,2010-11-03,Utah Jazz,UTA,Toronto Raptors,TOR,125,108,Utah Jazz
2010-11,21000062,2010-11-03,Phoenix Suns,PHX,San Antonio Spurs,SAS,110,112,San Antonio Spurs
2010-11,21000063,2010-11-03,Golden State Warriors,GSW,Memphis Grizzlies,MEM,115,109,Golden State Warriors
2010-11,21000064,2010-11-03,Los Angeles Clippers,LAC,Oklahoma City Thunder,OKC,107,92,Los Angeles Clippers
2010-11,21000065,2010-11-03,Sacramento Kings,SAC,Los Angeles Lakers,LAL,100,112,Los Angeles Lakers
2010-11,21000066,2010-11-04,Chicago Bulls,CHI,New York Knicks,NYK,112,120,New York Knicks
2010-11,21000067,2010-11-04,Portland Trail Blazers,POR,Oklahoma City Thunder,OKC,106,107,Oklahoma City Thunder
2010-11,21000068,2010-11-05,Indiana Pacers,IND,Milwaukee Bucks,MIL,90,94,Milwaukee Bucks
2010-11,21000069,2010-11-05,Orlando Magic,ORL,New Jersey Nets,NJN,105,90,Orlando Magic
2010-11,21000070,2010-11-05,Philadelphia 76ers,PHI,Cleveland Cavaliers,CLE,116,123,Cleveland Cavaliers
2010-11,21000071,2010-11-05,Detroit Pistons,DET,Charlotte Bobcats,CHA,97,90,Detroit Pistons
2010-11,21000072,2010-11-05,New York Knicks,NYK,Washington Wizards,WAS,112,91,New York Knicks
2010-11,21000073,2010-11-05,Boston Celtics,BOS,Chicago Bulls,CHI,110,105,Boston Celtics
2010-11,21000074,2010-11-05,Minnesota Timberwolves,MIN,Atlanta Hawks,ATL,103,113,Atlanta Hawks
2010-11,21000075,2010-11-05,New Orleans Hornets,NOH,Miami Heat,MIA,96,93,New Orleans Hornets
2010-11,21000076,2010-11-05,Phoenix Suns,PHX,Memphis Grizzlies,MEM,123,118,Phoenix Suns
2010-11,21000077,2010-11-05,Denver Nuggets,DEN,Los Angeles Clippers,LAC,111,104,Denver Nuggets
2010-11,21000078,2010-11-05,Golden State Warriors,GSW,Utah Jazz,UTA,85,78,Golden State Warriors
2010-11,21000079,2010-11-05,Los Angeles Lakers,LAL,Toronto Raptors,TOR,108,103,Los Angeles Lakers
